Alley (Allee,Ally,Aly)
Annex (Anex,Annx,Anx)
Arcade (Arc)
Avenida
Avenue (Av,Ave,Aven,Avenu,Avn,Avnue)
Bayou (Bayoo,Byu)
Beach (Bch)
Bend (Bnd)
Bluff (Bluf,Blf)
Bluffs (Blfs)
Bottom (Bot,Bottm,Btm)
Boulevard (Boul,Boulv,Bld,Blv,Blvd)
Branch (Brnch,Br)
Bridge (Brdge,Brg)
Brook (Brk)
Brooks (Brks)
Burg (Bg)
Burgs (Bgs)
Bypass (Bypa,Bypas,Byps,Byp)
Calle
Camino
Camp (Cmp,Cp)
Canyon (Canyn,Cnyn,Cyn)
Cape (Cpe)
Causeway (Causwa,Cswy)
Center (Cen,Cent,Centr,Centre,Cnter,Cntr,Ctr)
Centers (Ctrs)
Circle (Circ,Circl,Crcl,Crcle,Cir)
Circles (Cirs)
Cliff (Clf)
Cliffs (Clfs)
Club (Clb)
Common (Cmn)
Commons (Cmns)
Corner (Cor)
Corners (Cors)
Course (Crse)
Court (Ct)
Courts (Cts)
Cove (Cv)
Coves (Cvs)
Creek (Crk)
Crescent (Crsent,Crsnt,Cres)
Crest (Crst)
Crossing (Crssng,Xing)
Crossroad (Xrd)
Curve (Curv)
Dale (Dl)
Dam (Dm)
Divide (Div,Dvd,Dv)
Drive (Driv,Drv,Dr)
Drives (Drs)
Estate (Est)
Estates (Ests)
Expressway (Exp,Expr,Express,Expw,Expwy,Expy)
Extension (Extn,Extnsn,Ext)
Extensions (Exts)
Fall
Falls (Fls)
Ferry (Frry,Fry)
Field (Fld)
Fields (Flds)
Flat (Flt)
Flats (Flts)
Ford (Frd)
Fords (Frds)
Forest (Frst)
Forge (Forg,Frg)
Forges (Frgs)
Fork (Frk)
Forks (Frks)
Fort (Frt,Ft)
Freeway (Freewy,Frway,Frwy,Fwy)
Garden (Gardn,Grden,Grdn,Gdn)
Gardens (Gdns)
Gateway (Gatewy,Gatway,Gtway,Gtwy)
Glen (Gln)
Glens (Glns)
Green (Grn)
Greens (Grns)
Grove (Grov,Grv)
Groves (Grvs)
Harbor (Harb,Harbr,Hrbor,Hbr)
Harbors (Hbrs)
Haven (Hvn)
Heights (Hts)
Highway (Highwy,Hiway,Hiwy,Hway,Hwy)
Hill (Hl)
Hills (Hls)
Hollow (Hllw,Holw,Holws)
Inlet (Inlt)
Island (Is)
Islands (Iss)
Isle
Junction (Jction,Jctn,Junctn,Juncton,Jct)
Junctions (Jcts)
Key (Ky)
Keys (Kys)
Knoll (Knol,Knl)
Knolls (Knls)
Lake (Lk)
Lakes (Lks)
Land
Landing (Lndng,Lndg)
Lane (La,Ln)
Light (Lgt)
Lights (Lgts)
Loaf (Lf)
Lock (Lck)
Locks (Lcks)
Lodge (Ldge,Lodg,Ldg)
Loop (Lp)
Mall
Manor (Mnr)
Manors (Mnrs)
Meadow (Mdw)
Meadows (Medows,Mdws)
Mews
Mill (Ml)
Mills (Mls)
Mission (Msn)
Motorway (Mtwy)
Mount (Mt)
Mountain (Mtn)
Mountains (Mtns)
Neck (Nck)
Orchard (Orchrd,ch)
Oval (Ovl)
Overlook (Ovlk)
Overpass (Opas)
Park (Prk)
Parks (Park)
Parkway (Parkwy,Pkway,Pky,Pkwy)
Parkways (Pkwys)
Pass
Passage (Psge)
Path
Pike (Pk)
Pine (Pne)
Pines (Pnes)
Place (Pl)
Plain (Pln)
Plains (Plns)
Plaza (Plza,Plz)
Point (Pt)
Points (Pts)
Port (Prt)
Ports (Prts)
Prairie (Prr,Pr)
Radial (Rad,Radiel,Radl)
Ramp (Rmp)
Ranch (Rnch,Rnchs)
Rapid (Rpd)
Rapids (Rpds)
Rest (Rst)
Ridge (Rdge,Rdg)
Ridges (Rdgs)
River (Rvr,Rivr,Riv)
Road (Rd)
Roads (Rds)
Route (Rte)
Row
Rue
Run
Shoal (Shl)
Shoals (Shls)
Shore (Shr)
Shores (Shrs)
Skyway (Skwy)
Spring (Spng,Sprng,Spg)
Springs (Spgs)
Spur
Square (Sqr,Sqre,Squ,Sq)
Squares (Sqs)
Station (Statn,Stn,Sta)
Strasse (the German word for street,used in Summit Park,Utah and one road in Niederwald,Texas)
Stravenue (Strav,Straven,Stravn,Strvn,Strvnue,Stra; unique to Tucson,Arizona)
Stream (Streme,Strm)
Street (Str,Strt,St)
Streets (Sts)
Summit (Sumit,Sumitt,Smt)
Terrace (Terr,Ter)
Throughway (Trwy)
Trace (Trce)
Track (Trak,Trk,Trks)
Trafficway (Trfy)
Trail (Trl)
Trailer (Trlr)
Tunnel (Tunl)
Turnpike (Trnpk,Turnpk,Tpke)
Underpass (Upas)
Union (Un)
Unions (Uns)
Valley (Vally,Vlly,Vly)
Valleys (Vlys)
Via
Viaduct (Vdct,Viadct,Via)
View (Vw)
Views (Vws)
Village (Vill,Villag,Villg,Vlg)
Villages (Vlgs)
Ville (Vl)
Vista (Vist,Vst,Vsta,Vis)
Walk
Wall
Way (Wy)
Well (Wl)
Wells (Wls)
